user_id;movie_id;rating
1;1371;2,5
1;1405;1
1;2105;4
1;2193;2
1;2294;2
2;62;3
2;110;4
2;144;3
2;150;5
2;153;4
2;161;3
2;165;3
2;168;3
2;185;3
2;222;5
2;223;1
2;225;3
2;235;3
2;248;3
2;253;4
2;261;4
2;265;5
2;266;5
2;273;4
2;296;4
2;314;4
2;319;1
2;339;3
2;364;3
2;377;3
2;405;2
2;454;4
2;468;4
2;480;4
2;497;3
2;500;4
2;508;4
2;509;4
2;527;4
2;539;3
2;550;3
2;551;5
2;552;3
2;585;5
2;586;3
2;587;3
2;590;5
2;592;5
2;593;3
2;616;3
2;661;4
3;110;4
3;247;3,5
3;267;3
3;296;4,5
3;318;5
3;377;2,5
3;527;3
3;592;3
3;593;3
3;595;2
3;778;4
3;866;3
3;1580;3,5
3;1884;4
3;2028;4
3;2762;3,5
3;2841;4
4;112;5
4;141;5
4;153;4
4;173;3
4;185;3
4;260;5
4;289;4
4;296;5
4;329;3
4;364;5
4;380;3
4;431;3
4;435;1
4;464;4
4;480;5
4;541;5
4;590;3
4;594;5
4;596;5
4;616;5
4;858;5
4;903;5
4;910;4
4;913;5
4;919;5
4;1073;5
4;1089;5
4;1213;5
4;1278;5
4;1282;5
4;1371;4
4;1374;4
4;1376;3
4;1377;3
4;1380;5
4;1396;5
4;1580;5
4;1918;2
4;1954;5
4;1968;5
4;1994;5
4;2000;5
4;2003;2
4;2005;5
4;2018;5
4;2020;4
4;2021;4
4;2033;4
4;2034;4
4;2046;5
4;2054;3
4;2064;5
4;2085;5
4;2086;5
4;2087;5
4;2091;5
4;2094;4
4;2100;5
4;2102;5
4;2105;4
4;2109;5
4;2110;3
4;2114;5
4;2115;5
4;2124;4
4;2140;5
4;2144;5
4;2161;5
4;2193;3
4;2263;3
4;2289;5
4;2348;4
4;2371;4
4;2616;1
4;2640;5
4;2770;1
4;2788;5
4;3016;3
4;3034;5
4;3040;5
4;3060;5
4;3101;4
5;104;4
5;141;4
5;150;4
5;277;4,5
5;344;3,5
5;364;4
5;377;4
5;500;4,5
5;586;4
5;595;4
5;597;5
5;788;3,5
5;858;2,5
5;903;3,5
5;919;4
5;1380;5
5;1485;4,5
5;1682;4
5;1777;4
5;1923;4,5
5;1968;4
5;1997;3,5
5;2023;1,5
5;2294;4
5;2502;3,5
5;2762;3,5
5;2770;3,5
5;3114;3,5
5;3176;3,5
5;4025;4,5
5;4995;4,5
5;6373;4
5;30707;4,5
5;30793;3,5
5;41569;4
5;48385;4,5
6;111;4
6;158;2
6;173;2
6;293;5
6;596;4
6;903;4
6;1358;2
6;1639;2
6;1687;2
6;1909;3
6;2019;4
6;2502;3,5
6;2528;3
6;2657;2
6;2761;4,5
6;3114;4
6;4975;1,5
6;7090;3
6;8874;4,5
7;21;3
7;104;3
7;110;5
7;112;4
7;141;4
7;198;2
7;207;3
7;260;5
7;316;2
7;318;5
7;329;3
7;333;3
7;345;3
7;364;3
7;377;3
7;380;4
7;480;4
7;500;3
7;539;3
7;541;4
7;551;4
7;590;4
7;592;3
7;594;4
7;595;3
7;671;4
7;708;3
7;745;5
7;780;3
7;786;2
7;924;4
7;1073;3
7;1278;3
7;1371;3
7;1373;2
7;1374;4
7;1375;3
7;1376;3
7;1394;3
7;1405;5
7;1408;1
8;110;4
8;260;3,5
8;296;4
8;318;5
8;524;2
8;527;5
8;543;5
8;593;4,5
8;628;4
8;805;3,5
